time,r,dr/dt,theta,dtheta/dt
453651.78673364536,147110502013.34967,46.26511745938616,0.09340896292652182,2.0588494515804547e-07
460852.60874529055,147110837796.18057,46.99722485258969,0.09489150039626887,2.058840052877821e-07
468053.43075693573,147111178850.40323,47.72922558291121,0.09637403104512471,2.058830506692595e-07
475254.25276858086,147111525175.24338,48.46111799034985,0.09785655476689215,2.058820813049529e-07
482455.07478022604,147111876769.91476,49.19290041515873,0.0993390714553887,2.058810971973756e-07
489655.89679187123,147112233633.61917,49.92457119784496,0.10082158100444652,2.0588009834907935e-07
496856.71880351636,147112595765.54694,50.65612868017725,0.10230408330797161,2.0587908476265176e-07
504057.54081516154,147112963164.87857,51.38757120788266,0.10378657826010038,2.058780564407096e-07
511258.3628268067,147113335830.78018,52.11889712224426,0.10526906575470373,2.0587701338591854e-07
518459.18483845185,147113713762.40558,52.85010476427819,0.10675154568563615,2.0587595560098378e-07
525660.006850097,147114096958.89676,53.581192475455914,0.10823401794677832,2.058748830886483e-07
532860.8288617422,147114485419.38376,54.312158597704205,0.10971648243203716,2.0587379585169296e-07
540061.6508733873,147114879142.98477,55.04300147340515,0.1111989390353457,2.058726938929364e-07
547262.4728850325,147115278128.8061,55.77371944539614,0.1126813876506632,2.058715772152351e-07
554463.2948966777,147115682375.94214,56.50431085696989,0.11416382817197512,2.0587044582148334e-07
561664.1169083229,147116091883.4755,57.23477405187444,0.11564626049329312,2.058692997146133e-07
568864.938919968,147116506650.4768,57.96510737431312,0.117128684508655,2.0586813889759483e-07
576065.7609316132,147116926676.00485,58.69530916894461,0.11861110011212486,2.0586696337343578e-07
583266.5829432583,147117351959.10654,59.42537778088288,0.12009350719779291,2.0586577314518168e-07
590467.4049549035,147117782498.8169,60.155311555697224,0.12157590565977555,2.0586456821591597e-07
597668.2269665487,147118218294.15903,60.88510883941223,0.12305829539221541,2.0586334858875988e-07
604869.0489781939,147118659344.14423,61.61476797850784,0.12454067628928131,2.0586211426687248e-07
612069.870989839,147119105647.77185,62.34428731991927,0.12602304824516822,2.058608652534506e-07
619270.6930014841,147119557204.02942,63.07366521103709,0.12750541115409741,2.0585960155172897e-07
626471.5150131293,147120014011.89252,63.80289999970716,0.12898776491031622,2.0585832316498012e-07
633672.3370247745,147120476070.32492,64.53199003423065,0.13047010940809825,2.0585703009651437e-07
640873.1590364197,147120943378.27844,65.26093366336407,0.1319524445417433,2.058557223496799e-07
648073.9810480649,147121415934.69308,65.98972923631922,0.1334347702055773,2.058543999278627e-07
655274.80305971,147121893738.4969,66.71837510276322,0.13491708629395244,2.0585306283448659e-07
662475.6250713551,147122376788.60614,67.44686961281852,0.1363993927012471,2.0585171107301317e-07
669676.4470830003,147122865083.9251,68.17521111706289,0.13788168932186584,2.058503446469419e-07
676877.2690946455,147123358623.34625,68.90339796652937,0.13936397605023937,2.0584896355981011e-07
684078.0911062907,147123857405.75018,69.63142851270638,0.14084625278082466,2.0584756781519287e-07
691278.9131179359,147124361430.00552,70.35930110753759,0.14232851940810484,2.058461574167031e-07
698479.735129581,147124870694.96912,71.087014103422,0.14381077582658924,2.0584473236799151e-07
705680.5571412261,147125385199.48587,71.81456585321399,0.1452930219308134,2.058432926727467e-07
712881.3791528713,147125904942.38882,72.54195471022318,0.146775257615339,2.0584183833469508e-07
720082.2011645165,147126429922.49918,73.26917902821455,0.148257482774754,2.0584036935760086e-07
727283.0231761617,147126960138.62616,73.99623716140835,0.1497396973036725,2.0583888574526602e-07
734483.8451878068,147127495589.5672,74.72312746448016,0.15122190109673478,2.0583738750153048e-07
741684.667199452,147128036274.10782,75.4498482925609,0.1527040940486073,2.0583587463027188e-07
748885.4892110971,147128582191.02164,76.1763980012368,0.15418627605398283,2.0583434713540574e-07
