time_span,x,y,z,vx,vy,vz
2460187.500000000,  4.541803306081806E+07, -4.013450045883077E+07, -7.472650334471866E+06,  2.094669963128325E+01,  3.799769203286143E+01,  1.273990516837920E+00
2460188.500000000,  4.713681515382109E+07, -3.678633131783646E+07, -7.348163228913842E+06,  1.882812482475207E+01,  3.949856626411014E+01,  1.607102810498267E+00
2460189.500000000,  4.866922782352256E+07, -3.331031767279112E+07, -7.195014058288487E+06,  1.662932211770419E+01,  4.095864167674380E+01,  1.937761319482068E+00
2460190.500000000,  5.000741721333922E+07, -2.970966363346891E+07, -7.013332461009502E+06,  1.432813179404132E+01,  4.238424999585463E+01,  2.267927307799622E+00
2460191.500000000,  5.114142671955242E+07, -2.598733178203869E+07, -6.803067882460218E+06,  1.189831384564617E+01,  4.377441597437622E+01,  2.599770102112709E+00
2460192.500000000,  5.205892091194414E+07, -2.214672982166244E+07, -6.563982523567495E+06,  9.311375131541960E+00,  4.511964246469263E+01,  2.935409834382309E+00
2460193.500000000,  5.274508093760612E+07, -1.819248401474700E+07, -6.295667441868970E+06,  6.538696908221912E+00,  4.640112880538031E+01,  3.276641180875185E+00
2460194.500000000,  5.318269330886606E+07, -1.413125901907831E+07, -5.997582800329260E+06,  3.553866699747203E+00,  4.759048757036986E+01,  3.624653272975856E+00
2460195.500000000,  5.335244515767411E+07, -9.972578992385859E+06, -5.669121903470414E+06,  3.351071269355457E-01,  4.865000408128385E+01,  3.979761882903574E+00
2460196.500000000,  5.323342942121608E+07, -5.729601922565077E+06, -5.309697250763370E+06, -3.132312910870401E+00,  4.953346168230130E+01,  4.341170315087382E+00
2460197.500000000,  5.280385333611936E+07, -1.419798075122899E+06, -4.918845423419309E+06, -6.853803106561012E+00,  5.018753452039491E+01,  4.706775212787932E+00
2460198.500000000,  5.204193331511320E+07,  2.934515801351626E+06, -4.496346247800265E+06, -1.082343246145026E+01,  5.055372882198473E+01,  5.073032771019950E+00
2460199.500000000,  5.092694892166888E+07,  7.305832339681183E+06, -4.042350388559735E+06, -1.502228568331691E+01,  5.057083302566868E+01,  5.434899645531925E+00
2460200.500000000,  4.944041832660235E+07,  1.166134096667328E+07, -3.557508361155480E+06, -1.941731449536860E+01,  5.017781538888634E+01,  5.785861097268263E+00
2460201.500000000,  4.756734738362983E+07,  1.596308199662624E+07, -3.043092971119972E+06, -2.396080158363578E+01,  4.931708286732091E+01,  6.118056424325115E+00
2460202.500000000,  4.529749444003280E+07,  2.016839383445136E+07, -2.501106463322576E+06, -2.859055071837124E+01,  4.793798492365588E+01,  6.422508180225307E+00
2460203.500000000,  4.262658358589238E+07,  2.423066811566392E+07, -1.934363308924000E+06, -3.323090588446831E+01,  4.600040885120670E+01,  6.689456619912276E+00
2460204.500000000,  3.955739104230699E+07,  2.810041251096517E+07, -1.346539720271209E+06, -3.779467921653232E+01,  4.347826961994976E+01,  6.908793816694205E+00
2460205.500000000,  3.610062415929545E+07,  3.172660190745024E+07, -7.421818444292918E+05, -4.218602522079063E+01,  4.036265124234250E+01,  7.070582732009578E+00
2460206.500000000,  3.227551197617219E+07,  3.505827588753168E+07, -1.266663237271775E+05, -4.630423127293523E+01,  3.666431721614229E+01,  7.165635482012179E+00
2460207.500000000,  2.811003277923967E+07,  3.804631499875331E+07,  4.938903518169988E+05, -5.004830013583354E+01,  3.241528865105273E+01,  7.186113222944318E+00
2460208.500000000,  2.364071967661884E+07,  4.064530272352394E+07,  1.112773553762412E+06, -5.332208567609932E+01,  2.766920677142335E+01,  7.126099512573820E+00
2460209.500000000,  1.891201100387461E+07,  4.281535816975424E+07,  1.722858658789350E+06, -5.603962488826266E+01,  2.250026576976689E+01,  6.982092490750890E+00
2460210.500000000,  1.397514760189149E+07,  4.452381103966032E+07,  2.316836236066714E+06, -5.813021394194801E+01,  1.700062739921913E+01,  6.753361645214570E+00
2460211.500000000,  8.886660419690946E+06,  4.574658992006716E+07,  2.887460537192211E+06, -5.954273299825260E+01,  1.127639984210089E+01,  6.442124233785705E+00
2460212.500000000,  3.706533861815981E+06,  4.646921025074591E+07,  3.427804391357530E+06, -6.024875744261040E+01,  5.442452753805147E+00,  6.053514567552328E+00
2460213.500000000, -1.503834173338278E+06,  4.668727938586688E+07,  3.931502316036848E+06, -6.024410865437196E+01, -3.834915438170232E-01,  5.595343730190790E+00
2460214.500000000, -6.683732143125917E+06,  4.640647935873097E+07,  4.392964571301907E+06, -5.954867954038068E+01, -6.086943796486443E+00,  5.077673195950762E+00
2460215.500000000, -1.177514607105764E+07,  4.564203673013696E+07,  4.807547907150991E+06, -5.820458281948814E+01, -1.156234409967072E+01,  4.512247730915485E+00
2460216.500000000, -1.672454656934345E+07,  4.441773536301490E+07,  5.171673329680737E+06, -5.627286843688578E+01, -1.671787365220687E+01,  3.911846472759567E+00
2460217.500000000, -2.148434415788721E+07,  4.276456501575144E+07,  5.482886510075696E+06, -5.382920123507918E+01, -2.147902840678736E+01,  3.289614191374244E+00
2460218.500000000, -2.601394272651398E+07,  4.071912170838199E+07,  5.739861599543989E+06, -5.095895942659442E+01, -2.579077671288663E+01,  2.658428306845397E+00
2460219.500000000, -3.028036101900142E+07,  3.832188362955818E+07,  5.942353490142660E+06, -4.775220846349458E+01, -2.961829440786358E+01,  2.030344327987875E+00
2460220.500000000, -3.425842886172219E+07,  3.561548065328567E+07,  6.091106582561402E+06, -4.429894096132407E+01, -3.294640853558973E+01,  1.416146865033836E+00
2460221.500000000, -3.793059459250509E+07,  3.264305996034507E+07,  6.187729818167442E+06, -4.068487710869211E+01, -3.577797066498090E+01,  8.250186912739146E-01
2460222.500000000, -4.128640108056914E+07,  2.944682903418988E+07,  6.234548279758113E+06, -3.698801623721388E+01, -3.813142281409298E+01,  2.643286469116362E-01
2460223.500000000, -4.432170004616191E+07,  2.606683417538670E+07,  6.234441364491735E+06, -3.327603673422893E+01, -4.003782306163764E+01, -2.604687522744946E-01
2460224.500000000, -4.703767942579401E+07,  2.254001035640918E+07,  6.190676698991222E+06, -2.960456724572254E+01, -4.153757752384163E+01, -7.458336547486102E-01
2460225.500000000, -4.943977806079619E+07,  1.889951827775152E+07,  6.106747858538559E+06, -2.601629869335111E+01, -4.267709294086438E+01, -1.190054828970197E+00
2460226.500000000, -5.153655770179398E+07,  1.517436751081569E+07,  5.986222740942728E+06, -2.254087096138678E+01, -4.350552859263658E+01, -1.593091440172454E+00
2460227.500000000, -5.333859554855409E+07,  1.138931064923803E+07,  5.832608220431652E+06, -1.919544534994438E+01, -4.407179259176998E+01, -1.956356752556976E+00
2460228.500000000, -5.485745219242834E+07,  7.564982185564881E+06,  5.649235497754305E+06, -1.598585941196039E+01, -4.442189748383385E+01, -2.282457651551059E+00
2460229.500000000, -5.610476045612293E+07,  3.718247081083812E+06,  5.439169367231455E+06, -1.290825121736225E+01, -4.459676320086254E+01, -2.574903789010001E+00
2460230.500000000, -5.709147056511404E+07, -1.372825272278241E+05,  5.205143428295528E+06, -9.951033542945273E+00, -4.463053056492303E+01, -2.837800179826354E+00
2460231.500000000, -5.782727656470470E+07, -3.990608457657695E+06,  4.949522073165718E+06, -7.097094369995911E+00, -4.454942448339349E+01, -3.075537086190963E+00
2460232.500000000, -5.832023813260522E+07, -7.832633771219891E+06,  4.674288893192136E+06, -4.326098633251715E+00, -4.437118190490266E+01, -3.292490829219188E+00
2460233.500000000, -5.857660118733968E+07, -1.165542478765864E+07,  4.381059989596854E+06, -1.616768062598057E+00, -4.410503531271399E+01, -3.492748590004190E+00
2460234.500000000, -5.860081027708478E+07, -1.545149455923427E+07,  4.071119588782693E+06,  1.050978104537969E+00, -4.375221840868468E+01, -3.679869174220997E+00
2460235.500000000, -5.839569602410866E+07, -1.921315064095770E+07,  3.745474395388063E+06,  3.694128295092627E+00, -4.330693753255591E+01, -3.856690053198765E+00
2460236.500000000, -5.796281229685409E+07, -2.293194419266477E+07,  3.404922317541527E+06,  6.325021281622952E+00, -4.275773139558125E+01, -4.025188767491496E+00
2460237.500000000, -5.730289067845681E+07, -2.659824997027706E+07,  3.050130614469747E+06,  8.950198491929399E+00, -4.208912410834189E+01, -4.186404059430439E+00
2460238.500000000, -5.641637454783380E+07, -3.020099795256642E+07,  2.681718184140343E+06,  1.156971488259277E+01, -4.128346340450332E+01, -4.340419016399192E+00
2460239.500000000, -5.530399196184246E+07, -3.372756763921985E+07,  2.300336652522696E+06,  1.417693150658970E+01, -4.032282835386331E+01, -4.486405224234682E+00
2460240.500000000, -5.396732569524027E+07, -3.716384594876610E+07,  1.906745155223072E+06,  1.675878580366500E+01, -3.919088936044298E+01, -4.622723642128474E+00
2460241.500000000, -5.240934030762471E+07, -4.049443968336280E+07,  1.501874208545242E+06,  1.929650873563046E+01, -3.787460812239667E+01, -4.747074816786986E+00
2460242.500000000, -5.063482987965387E+07, -4.370302425971879E+07,  1.086874825209875E+06,  2.176673272043630E+01, -3.636567635379351E+01, -4.856688347283663E+00
2460243.500000000, -4.865075587958200E+07, -4.677280235041840E+07,  6.631499989587516E+05,  2.414291237136387E+01, -3.466160889505625E+01, -4.948539364644683E+00
2460244.500000000, -4.646645214877204E+07, -4.968703969358850E+07,  2.323668075237833E+05,  2.639696263814227E+01, -3.276642845908849E+01, -5.019578340239692E+00
